SKU,Product Name,Product ID,Brand,Model,Ext,Product Description,Item Type,Standard Price,Bullet Point1,Bullet Point2,Bullet Point3,Bullet Point4,Bullet Point5,Search Terms1,Search Terms2,Search Terms3,Search Terms4,Search Terms5,Lens Color,Frame Material Type,Lens Material Type,Item Shape,Polarization Type,Lens Width,Bridge Width,Arm Length,Department,Frame Color,Special Features1
KS-QGNX-G59G,"Miu Miu MU 02RS REVEAL Collection Women Sunglasses (Green Havana Frame, Grey Green Gradient (UAG/0A7)()",710377986028,Miu Miu,m02RS,eREVEAL-UAG0A7,Miu Miu Reveal collection oversized square tortoiseshell acetate frame. Lettering logo.,sunglasses,274.99,Model: Miu Miu MU 02RS Reveal Collection.,Style: Oversized Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter pave,for her him unisex men women reveal,sunglasses glasses frame shades lenses,green,Composite,plastic,Square,non-polarized,67,17,140,womens,Green  ,prescription-ready
4U-700F-7FT9,"Miu Miu MU 02RS REVEAL Collection Women Sunglasses (Ivory Frame, Brown Gradient Lens 7S3/1L0)",710377986233,Miu Miu,m02RS,eREVEAL-7S31L0,Miu Miu Reveal collection oversized square tortoiseshell acetate frame. Lettering logo.,sunglasses,274.99,Model: Miu Miu MU 02RS Reveal Collection.,Style: Oversized Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter pave,for her him unisex men women reveal,sunglasses glasses frame shades lenses,brown,Composite,gradient,Square,non-polarized,67,17,140,womens,Ivory ,prescription-ready
6M-FLJW-0EE8,"Miu Miu MU 02RS REVEAL Collection Women Sunglasses (Lilac Havana Frame, Lilac Grey Gradient (UAH/3H0))",710377986011,Miu Miu,m02RS,eREVEAL-UAH3H0,Miu Miu Reveal collection oversized square tortoiseshell acetate frame. Lettering logo.,sunglasses,274.99,Model: Miu Miu MU 02RS Reveal Collection.,Style: Oversized Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter pave,for her him unisex men women reveal,sunglasses glasses frame shades lenses,grey,Composite,plastic,Square,non-polarized,67,17,140,womens,Lilac  ,prescription-ready
OJ-NUIW-5AUP,"Miu Miu MU 02RS REVEAL Collection Women Sunglasses (Orange Havana Frame, Brown Orange Gradient Lens (7S0/0A3))",710377986035,Miu Miu,m02RS,eREVEAL-7S00A3,Miu Miu Reveal collection oversized square tortoiseshell acetate frame. Lettering logo.,sunglasses,274.99,Model: Miu Miu MU 02RS Reveal Collection.,Style: Oversized Square.,"Original Miu Miu Packaging, Case, Soft Case and Cleaning Cloth Included.",Gender: Women,Made in Italy.,miu miu miumiu miu-miu sunglasses frame shades,fashion new collection original authentic made in italy,man men woman unisex glitter pave,for her him unisex men women reveal,sunglasses glasses frame shades lenses,orange,Composite,gradient,Square,non-polarized,67,17,140,womens,Orange  ,prescription-ready
B1-DUUE-IOXI,Miu Miu MU 03QS Sand Opal Antique Pink Frame / Grey Gradient Lilac Lens (TV1/3E2),710377980774,Miu Miu,m03QS,eTV13E2,,sunglasses,249.99,Model: Miu Miu MU03QS.,Color: Sand Opal Antique Pink Frame / Grey Gradient Lilac Lens (TV1/3E2).,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miumiu miu-miu gift for her girlfriend,smu03QS.,sunglasses for women 2015 glasses shades frame,03QS discount sale new designer,gradient lens lenses authentic made in italy,black,metal,gradient,aviator,non-polarized,55,24,140,womens,,prescription-ready
IT-Q90O-JKRA,Miu Miu MU 03QS Sunglasses 1AB/3HO Black / Brown Gradient Lilac Lens,719363476659,Miu Miu,m03QS,e1AB3HO,,sunglasses,249.99,Model: Miu Miu MU 03QS.,Color: 1AB/3HO Black / Brown Gradient Lilac Lens.,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,,miu miu,smu03QS.,sunglasses,03QS,1AB3HO,black,metal,gradient,aviator,non-polarized,55,24,140,womens,,prescription-ready
DL-958J-OKST,Miu Miu MU 03QS Sunglasses Marble Havana / Biege Gradient Lens (DHE/3H2),710377982181,Miu Miu,m03QS,eDHE3H2,,sunglasses,279.99,Model: Miu Miu MU 03QS.,Color: Marble Havana / Biege Gradient Lens (DHE/3H2).,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miumiu miu-miu gift for her girlfriend,smu03QS.,sunglasses for women glasses shades frame,03QS,gradient lens lenses authentic made in italy,black,metal,gradient,aviator,non-polarized,55,24,140,womens,,prescription-ready
2O-94K0-7T0W,Miu Miu MU 04QS Marbleized Black w/Crystal Pavé Embellishment / Gray Gradient Lens (1AB/0A7),719363480618,Miu Miu,m04QS,e1AB0A7,A luxurious version of the Noir marbleized black glitter fabric frame with elegant antiqued metal temples and gray crystal pavé embellishment and satin night rhinestones Engraved lettering logo.,sunglasses,299.99,Model: Miu Miu MU04QS.,Color: Black w/Crystal Pavé Embellishment / Gray Gradient Lens (1AB/0A7).,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miu miu miu-miu gift for her girlfriend,rasoir rasor semi rimless swarovski crystalls,sunglasses women authentic made in italy,MU04QS 04qs noir,SMU04Q EDHE F00A7,black,composite,gradient,cateye,non-polarized,55,24,140,womens,,
IF-6LIG-D9KQ,Miu Miu MU 04QS Marbleized Havana w/Crystal Pavé Embellishment / Gray Gradient Lens 7S0/3D0,719363479148,Miu Miu,m04QS,e7S03D0,A luxurious version of the Noir marbleized black glitter fabric frame with elegant antiqued metal temples and gray crystal pavé embellishment and satin night rhinestones Engraved lettering logo.,sunglasses,299.99,Model: Miu Miu MU04QS.,Color: 7S0/3D0 Marbleized Black Glitter Frame with Crystal Pavé Embellishment / Gray to Pale Blue Gradient Lens.,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miu miu miu-miu gift for her girlfriend,rasoir rasor semi rimless swarovski crystalls,sunglasses women authentic made in italy,MU04QS 04qs noir,SMU04Q EDHE F00A7,black,composite,gradient,cateye,non-polarized,55,24,140,womens,,
PF-KOFF-1NO6,Miu Miu MU 04QS Marbleized Havana w/Crystal Pavé Embellishment / Grey Gradient Lens (DHE/0A7),710377980781,Miu Miu,m04QS,eDHE0A7,A luxurious version of the Noir marbleized black glitter fabric frame with elegant antiqued metal temples and gray crystal pavé embellishment and satin night rhinestones Engraved lettering logo.,sunglasses,284.99,Model: Miu Miu MU04QS.,Color: (DHE/0A7) Marbleized Black Glitter Frame with Crystal Pavé Embellishment / Gray to Pale Blue Gradient Lens.,"Original Miu Miu Packaging, Carton Box, Case, Soft Case and Cleaning Cloth Included.",Gender: Women.,Made in Italy.,miu miu miu miu miu-miu gift for her girlfriend,rasoir rasor semi rimless swarovski crystalls,sunglasses women authentic made in italy,MU04QS 04qs noir cat eye cateye,SMU04Q EDHE F00A7 crystal pave,black,composite,gradient,cateye,non-polarized,55,24,140,womens,,
